wsa	dcop	dcoe	dcod
17921	9.16221428571429e-38	-0.488765787271886	0.000909208988180283
17922	1	-3.32623022042744	0.000129886998311469
111	1.22472580645161e-35	2.5768279148142	0.0071437849071308
17929	1.12703389830508e-19	4.79203379555737	0.00285751396285232
17956	6.045e-14	2.46659732121436	0.00324717495778673
18005	0.449035714285714	-1.42923808588516	0.000129886998311469
18011	7.74860465116279e-09	3.65453027180744	0.00649434991557345
18019	1.126125e-30	1.20990545298706	0.00311728795947526
18024	7.29857142857143e-16	-2.14946041621679	0.000129886998311469
18026	8.2555462184874e-11	-0.0722061900418868	0.00129886998311469
18029	0.327622478386167	-1.59504697885524	0.000129886998311469
18033	5.31278145695364e-07	0.570761914114839	0.000129886998311469
18041	0.218307692307692	0.901967822590212	0.000129886998311469
18055	0.0155892519685039	1.43393113229405	0.00324717495778673
18057	6.20731843575419e-05	-0.356534892155516	0.000779321989868814
18064	8.25e-05	6.3300953213095	0.00324717495778673
18065	0.0720836734693878	1.7366126540499	0.00441615794258995
18079	1.71206422018349e-11	3.37951344329108	0.00688401091050786
18114	0.607096605744125	3.62169887934007	0.00441615794258995
