ncats_id	attribute	value
SSR150106	synonym	SSR-150106
SSR97225	canonical	SSR97225
SSR97225	synonym	SSR-97225
XRP0038	canonical	XRP0038
XRP0038	synonym	Riferminogene pecaplasmid
XRP0038	synonym	NV1FGF
XRP0038	synonym	temusi
XRP0038	synonym	XRP-0038
ZD4054	canonical	ZD4054
ZD4054	synonym	zibotentan
ZD4054	synonym	ZD-4054
